arquivo,tamanho_paginas,tamanho_memoria,algoritmo,pageFaults, dirtyPages,tempo
../exemplos/compilador.log,2,128,LRU,84419,14083,0.203125
../exemplos/compilador.log,2,256,LRU,59035,10050,0.25
../exemplos/compilador.log,2,512,LRU,40341,7297,0.359375
../exemplos/compilador.log,2,1024,LRU,21639,4457,0.5625
../exemplos/compilador.log,2,2048,LRU,10190,2528,0.96875
../exemplos/compilador.log,2,4096,LRU,4849,1210,1.4375
../exemplos/compilador.log,2,8192,LRU,3621,0,1.54688
../exemplos/compilador.log,2,16384,LRU,3621,0,1.54688
../exemplos/compilador.log,4,128,LRU,98067,16759,0.15625
../exemplos/compilador.log,4,256,LRU,70315,12057,0.203125
../exemplos/compilador.log,4,512,LRU,48526,8496,0.25
../exemplos/compilador.log,4,1024,LRU,31698,5957,0.359375
../exemplos/compilador.log,4,2048,LRU,15609,3436,0.546875
../exemplos/compilador.log,4,4096,LRU,6673,1773,0.984375
../exemplos/compilador.log,4,8192,LRU,3432,733,1.15625
../exemplos/compilador.log,4,16384,LRU,2852,0,1.25
../exemplos/compilador.log,8,128,LRU,132386,23565,0.140625
../exemplos/compilador.log,8,256,LRU,92279,16308,0.171875
../exemplos/compilador.log,8,512,LRU,65270,11670,0.1875
../exemplos/compilador.log,8,1024,LRU,44465,8146,0.25
../exemplos/compilador.log,8,2048,LRU,26928,5418,0.359375
../exemplos/compilador.log,8,4096,LRU,11951,2992,0.515625
../exemplos/compilador.log,8,8192,LRU,4825,1391,0.953125
../exemplos/compilador.log,8,16384,LRU,2494,418,1.07812
../exemplos/compilador.log,16,128,LRU,189322,35969,0.140625
../exemplos/compilador.log,16,256,LRU,123445,22667,0.140625
../exemplos/compilador.log,16,512,LRU,83950,15552,0.15625
../exemplos/compilador.log,16,1024,LRU,57600,10863,0.203125
../exemplos/compilador.log,16,2048,LRU,38430,7481,0.25
../exemplos/compilador.log,16,4096,LRU,21527,4711,0.359375
../exemplos/compilador.log,16,8192,LRU,8198,2283,0.515625
../exemplos/compilador.log,16,16384,LRU,3201,944,0.8125
../exemplos/compilador.log,32,128,LRU,263907,51199,0.140625
../exemplos/compilador.log,32,256,LRU,170963,33391,0.140625
../exemplos/compilador.log,32,512,LRU,109458,20625,0.140625
../exemplos/compilador.log,32,1024,LRU,72140,13794,0.15625
../exemplos/compilador.log,32,2048,LRU,47785,9188,0.203125
../exemplos/compilador.log,32,4096,LRU,30752,6120,0.25
../exemplos/compilador.log,32,8192,LRU,14172,3370,0.34375
../exemplos/compilador.log,32,16384,LRU,5223,1501,0.5
../exemplos/compilador.log,64,128,LRU,370856,71036,0.125
../exemplos/compilador.log,64,256,LRU,227915,48062,0.140625
../exemplos/compilador.log,64,512,LRU,147332,30666,0.140625
../exemplos/compilador.log,64,1024,LRU,93778,18860,0.15625
../exemplos/compilador.log,64,2048,LRU,60369,12357,0.15625
../exemplos/compilador.log,64,4096,LRU,38496,7918,0.1875
../exemplos/compilador.log,64,8192,LRU,22804,5026,0.25
../exemplos/compilador.log,64,16384,LRU,9859,2516,0.359375
../exemplos/compilador.log,2,128,FIFO,84419,14083,0.1875
../exemplos/compilador.log,2,256,FIFO,59035,10050,0.25
../exemplos/compilador.log,2,512,FIFO,40341,7297,0.375
../exemplos/compilador.log,2,1024,FIFO,21639,4457,0.53125
../exemplos/compilador.log,2,2048,FIFO,10190,2528,0.96875
../exemplos/compilador.log,2,4096,FIFO,4849,1210,1.42188
../exemplos/compilador.log,2,8192,FIFO,3621,0,1.54688
../exemplos/compilador.log,2,16384,FIFO,3621,0,1.59375
../exemplos/compilador.log,4,128,FIFO,98067,16759,0.15625
../exemplos/compilador.log,4,256,FIFO,70315,12057,0.1875
../exemplos/compilador.log,4,512,FIFO,48526,8496,0.25
../exemplos/compilador.log,4,1024,FIFO,31698,5957,0.34375
../exemplos/compilador.log,4,2048,FIFO,15609,3436,0.546875
../exemplos/compilador.log,4,4096,FIFO,6673,1773,0.984375
../exemplos/compilador.log,4,8192,FIFO,3432,733,1.17188
../exemplos/compilador.log,4,16384,FIFO,2852,0,1.28125
../exemplos/compilador.log,8,128,FIFO,132386,23565,0.15625
../exemplos/compilador.log,8,256,FIFO,92279,16308,0.15625
../exemplos/compilador.log,8,512,FIFO,65270,11670,0.1875
../exemplos/compilador.log,8,1024,FIFO,44465,8146,0.25
../exemplos/compilador.log,8,2048,FIFO,26928,5418,0.359375
../exemplos/compilador.log,8,4096,FIFO,11951,2992,0.515625
../exemplos/compilador.log,8,8192,FIFO,4825,1391,0.953125
../exemplos/compilador.log,8,16384,FIFO,2494,418,1.0625
../exemplos/compilador.log,16,128,FIFO,189322,35969,0.140625
../exemplos/compilador.log,16,256,FIFO,123445,22667,0.140625
../exemplos/compilador.log,16,512,FIFO,83950,15552,0.15625
../exemplos/compilador.log,16,1024,FIFO,57600,10863,0.171875
../exemplos/compilador.log,16,2048,FIFO,38430,7481,0.234375
../exemplos/compilador.log,16,4096,FIFO,21527,4711,0.359375
../exemplos/compilador.log,16,8192,FIFO,8198,2283,0.5
../exemplos/compilador.log,16,16384,FIFO,3201,944,0.8125
../exemplos/compilador.log,32,128,FIFO,263907,51199,0.125
../exemplos/compilador.log,32,256,FIFO,170963,33391,0.125
../exemplos/compilador.log,32,512,FIFO,109458,20625,0.140625
../exemplos/compilador.log,32,1024,FIFO,72140,13794,0.15625
../exemplos/compilador.log,32,2048,FIFO,47785,9188,0.1875
../exemplos/compilador.log,32,4096,FIFO,30752,6120,0.25
../exemplos/compilador.log,32,8192,FIFO,14172,3370,0.34375
../exemplos/compilador.log,32,16384,FIFO,5223,1501,0.5
../exemplos/compilador.log,64,128,FIFO,370856,71036,0.140625
../exemplos/compilador.log,64,256,FIFO,227915,48062,0.125
../exemplos/compilador.log,64,512,FIFO,147332,30666,0.125
../exemplos/compilador.log,64,1024,FIFO,93778,18860,0.140625
../exemplos/compilador.log,64,2048,FIFO,60369,12357,0.15625
../exemplos/compilador.log,64,4096,FIFO,38496,7918,0.171875
../exemplos/compilador.log,64,8192,FIFO,22804,5026,0.25
../exemplos/compilador.log,64,16384,FIFO,9859,2516,0.359375
../exemplos/compressor.log,2,128,LRU,1928,659,0.203125
../exemplos/compressor.log,2,256,LRU,1249,428,0.234375
../exemplos/compressor.log,2,512,LRU,772,215,0.375
../exemplos/compressor.log,2,1024,LRU,419,0,0.671875
../exemplos/compressor.log,2,2048,LRU,419,0,0.65625
../exemplos/compressor.log,2,4096,LRU,419,0,0.671875
../exemplos/compressor.log,2,8192,LRU,419,0,0.703125
../exemplos/compressor.log,2,16384,LRU,419,0,0.703125
../exemplos/compressor.log,4,128,LRU,2497,852,0.140625
../exemplos/compressor.log,4,256,LRU,1467,517,0.140625
../exemplos/compressor.log,4,512,LRU,891,311,0.21875
../exemplos/compressor.log,4,1024,LRU,511,138,0.453125
../exemplos/compressor.log,4,2048,LRU,317,0,0.53125
../exemplos/compressor.log,4,4096,LRU,317,0,0.546875
../exemplos/compressor.log,4,8192,LRU,317,0,0.546875
../exemplos/compressor.log,4,16384,LRU,317,0,0.515625
../exemplos/compressor.log,8,128,LRU,3235,1127,0.125
../exemplos/compressor.log,8,256,LRU,1804,640,0.140625
../exemplos/compressor.log,8,512,LRU,1030,386,0.1875
../exemplos/compressor.log,8,1024,LRU,570,197,0.265625
../exemplos/compressor.log,8,2048,LRU,255,0,0.515625
../exemplos/compressor.log,8,4096,LRU,255,0,0.46875
../exemplos/compressor.log,8,8192,LRU,255,0,0.453125
../exemplos/compressor.log,8,16384,LRU,255,0,0.453125
../exemplos/compressor.log,16,128,LRU,11214,2284,0.140625
../exemplos/compressor.log,16,256,LRU,2862,1049,0.140625
../exemplos/compressor.log,16,512,LRU,1495,570,0.140625
../exemplos/compressor.log,16,1024,LRU,850,338,0.21875
../exemplos/compressor.log,16,2048,LRU,430,142,0.28125
../exemplos/compressor.log,16,4096,LRU,209,0,0.40625
../exemplos/compressor.log,16,8192,LRU,209,0,0.390625
../exemplos/compressor.log,16,16384,LRU,209,0,0.390625
../exemplos/compressor.log,32,128,LRU,113347,41056,0.140625
../exemplos/compressor.log,32,256,LRU,10640,2148,0.125
../exemplos/compressor.log,32,512,LRU,2234,796,0.125
../exemplos/compressor.log,32,1024,LRU,1119,441,0.140625
../exemplos/compressor.log,32,2048,LRU,640,259,0.203125
../exemplos/compressor.log,32,4096,LRU,308,101,0.203125
../exemplos/compressor.log,32,8192,LRU,172,0,0.359375
../exemplos/compressor.log,32,16384,LRU,172,0,0.359375
../exemplos/compressor.log,64,128,LRU,216584,50592,0.140625
../exemplos/compressor.log,64,256,LRU,104991,34603,0.140625
../exemplos/compressor.log,64,512,LRU,10332,2062,0.140625
../exemplos/compressor.log,64,1024,LRU,1956,736,0.140625
../exemplos/compressor.log,64,2048,LRU,890,376,0.15625
../exemplos/compressor.log,64,4096,LRU,444,187,0.171875
../exemplos/compressor.log,64,8192,LRU,155,20,0.21875
../exemplos/compressor.log,64,16384,LRU,137,0,0.265625
../exemplos/compressor.log,2,128,FIFO,1928,659,0.21875
../exemplos/compressor.log,2,256,FIFO,1249,428,0.25
../exemplos/compressor.log,2,512,FIFO,772,215,0.390625
../exemplos/compressor.log,2,1024,FIFO,419,0,0.671875
../exemplos/compressor.log,2,2048,FIFO,419,0,0.671875
../exemplos/compressor.log,2,4096,FIFO,419,0,0.65625
../exemplos/compressor.log,2,8192,FIFO,419,0,0.671875
../exemplos/compressor.log,2,16384,FIFO,419,0,0.671875
../exemplos/compressor.log,4,128,FIFO,2497,852,0.140625
../exemplos/compressor.log,4,256,FIFO,1467,517,0.171875
../exemplos/compressor.log,4,512,FIFO,891,311,0.203125
../exemplos/compressor.log,4,1024,FIFO,511,138,0.46875
../exemplos/compressor.log,4,2048,FIFO,317,0,0.546875
../exemplos/compressor.log,4,4096,FIFO,317,0,0.546875
../exemplos/compressor.log,4,8192,FIFO,317,0,0.546875
../exemplos/compressor.log,4,16384,FIFO,317,0,0.546875
../exemplos/compressor.log,8,128,FIFO,3235,1127,0.140625
../exemplos/compressor.log,8,256,FIFO,1804,640,0.15625
../exemplos/compressor.log,8,512,FIFO,1030,386,0.1875
../exemplos/compressor.log,8,1024,FIFO,570,197,0.265625
../exemplos/compressor.log,8,2048,FIFO,255,0,0.453125
../exemplos/compressor.log,8,4096,FIFO,255,0,0.453125
../exemplos/compressor.log,8,8192,FIFO,255,0,0.453125
../exemplos/compressor.log,8,16384,FIFO,255,0,0.453125
../exemplos/compressor.log,16,128,FIFO,11214,2284,0.125
../exemplos/compressor.log,16,256,FIFO,2862,1049,0.140625
../exemplos/compressor.log,16,512,FIFO,1495,570,0.15625
../exemplos/compressor.log,16,1024,FIFO,850,338,0.21875
../exemplos/compressor.log,16,2048,FIFO,430,142,0.296875
../exemplos/compressor.log,16,4096,FIFO,209,0,0.40625
../exemplos/compressor.log,16,8192,FIFO,209,0,0.40625
../exemplos/compressor.log,16,16384,FIFO,209,0,0.390625
../exemplos/compressor.log,32,128,FIFO,113347,41056,0.125
../exemplos/compressor.log,32,256,FIFO,10640,2148,0.125
../exemplos/compressor.log,32,512,FIFO,2234,796,0.125
../exemplos/compressor.log,32,1024,FIFO,1119,441,0.140625
../exemplos/compressor.log,32,2048,FIFO,640,259,0.21875
../exemplos/compressor.log,32,4096,FIFO,308,101,0.203125
../exemplos/compressor.log,32,8192,FIFO,172,0,0.359375
../exemplos/compressor.log,32,16384,FIFO,172,0,0.328125
../exemplos/compressor.log,64,128,FIFO,216584,50592,0.125
../exemplos/compressor.log,64,256,FIFO,104991,34603,0.125
../exemplos/compressor.log,64,512,FIFO,10332,2062,0.125
../exemplos/compressor.log,64,1024,FIFO,1956,736,0.125
../exemplos/compressor.log,64,2048,FIFO,890,376,0.15625
../exemplos/compressor.log,64,4096,FIFO,444,187,0.15625
../exemplos/compressor.log,64,8192,FIFO,155,20,0.21875
../exemplos/compressor.log,64,16384,FIFO,137,0,0.28125
../exemplos/matriz.log,2,128,LRU,36893,8637,0.203125
../exemplos/matriz.log,2,256,LRU,20441,5349,0.265625
../exemplos/matriz.log,2,512,LRU,10669,3285,0.328125
../exemplos/matriz.log,2,1024,LRU,6097,2033,0.359375
../exemplos/matriz.log,2,2048,LRU,4027,1351,0.4375
../exemplos/matriz.log,2,4096,LRU,3367,724,0.609375
../exemplos/matriz.log,2,8192,LRU,2994,0,0.765625
../exemplos/matriz.log,2,16384,LRU,2994,0,0.765625
../exemplos/matriz.log,4,128,LRU,81638,18176,0.15625
../exemplos/matriz.log,4,256,LRU,30422,7592,0.1875
../exemplos/matriz.log,4,512,LRU,17523,4944,0.234375
../exemplos/matriz.log,4,1024,LRU,8551,2859,0.3125
../exemplos/matriz.log,4,2048,LRU,4850,1662,0.28125
../exemplos/matriz.log,4,4096,LRU,3264,1048,0.40625
../exemplos/matriz.log,4,8192,LRU,2798,407,0.515625
../exemplos/matriz.log,4,16384,LRU,2543,0,0.671875
../exemplos/matriz.log,8,128,LRU,211346,47010,0.15625
../exemplos/matriz.log,8,256,LRU,77190,17375,0.15625
../exemplos/matriz.log,8,512,LRU,27104,6919,0.1875
../exemplos/matriz.log,8,1024,LRU,15410,4516,0.28125
../exemplos/matriz.log,8,2048,LRU,6672,2302,0.359375
../exemplos/matriz.log,8,4096,LRU,3840,1402,0.4375
../exemplos/matriz.log,8,8192,LRU,2778,885,0.375
../exemplos/matriz.log,8,16384,LRU,2326,165,0.5625
../exemplos/matriz.log,16,128,LRU,324507,54843,0.15625
../exemplos/matriz.log,16,256,LRU,205727,46099,0.171875
../exemplos/matriz.log,16,512,LRU,70151,15982,0.171875
../exemplos/matriz.log,16,1024,LRU,22815,6120,0.171875
../exemplos/matriz.log,16,2048,LRU,12021,3824,0.234375
../exemplos/matriz.log,16,4096,LRU,4910,1827,0.296875
../exemplos/matriz.log,16,8192,LRU,3027,1141,0.28125
../exemplos/matriz.log,16,16384,LRU,2294,711,0.375
../exemplos/matriz.log,32,128,LRU,403797,56910,0.140625
../exemplos/matriz.log,32,256,LRU,314398,54456,0.140625
../exemplos/matriz.log,32,512,LRU,188541,43099,0.15625
../exemplos/matriz.log,32,1024,LRU,59061,13547,0.15625
../exemplos/matriz.log,32,2048,LRU,19309,5295,0.1875
../exemplos/matriz.log,32,4096,LRU,9506,3150,0.25
../exemplos/matriz.log,32,8192,LRU,4013,1500,0.28125
../exemplos/matriz.log,32,16384,LRU,2461,919,0.265625
../exemplos/matriz.log,64,128,LRU,458585,59417,0.140625
../exemplos/matriz.log,64,256,LRU,350270,56339,0.140625
../exemplos/matriz.log,64,512,LRU,271380,53923,0.140625
../exemplos/matriz.log,64,1024,LRU,137751,33692,0.15625
../exemplos/matriz.log,64,2048,LRU,40262,9338,0.15625
../exemplos/matriz.log,64,4096,LRU,14861,4231,0.1875
../exemplos/matriz.log,64,8192,LRU,6848,2416,0.234375
../exemplos/matriz.log,64,16384,LRU,3175,1198,0.265625
../exemplos/matriz.log,2,128,FIFO,36893,8637,0.1875
../exemplos/matriz.log,2,256,FIFO,20441,5349,0.25
../exemplos/matriz.log,2,512,FIFO,10669,3285,0.34375
../exemplos/matriz.log,2,1024,FIFO,6097,2033,0.375
../exemplos/matriz.log,2,2048,FIFO,4027,1351,0.421875
../exemplos/matriz.log,2,4096,FIFO,3367,724,0.59375
../exemplos/matriz.log,2,8192,FIFO,2994,0,0.765625
../exemplos/matriz.log,2,16384,FIFO,2994,0,0.765625
../exemplos/matriz.log,4,128,FIFO,81638,18176,0.15625
../exemplos/matriz.log,4,256,FIFO,30422,7592,0.1875
../exemplos/matriz.log,4,512,FIFO,17523,4944,0.234375
../exemplos/matriz.log,4,1024,FIFO,8551,2859,0.3125
../exemplos/matriz.log,4,2048,FIFO,4850,1662,0.3125
../exemplos/matriz.log,4,4096,FIFO,3264,1048,0.421875
../exemplos/matriz.log,4,8192,FIFO,2798,407,0.5625
../exemplos/matriz.log,4,16384,FIFO,2543,0,0.671875
../exemplos/matriz.log,8,128,FIFO,211346,47010,0.15625
../exemplos/matriz.log,8,256,FIFO,77190,17375,0.140625
../exemplos/matriz.log,8,512,FIFO,27104,6919,0.1875
../exemplos/matriz.log,8,1024,FIFO,15410,4516,0.25
../exemplos/matriz.log,8,2048,FIFO,6672,2302,0.328125
../exemplos/matriz.log,8,4096,FIFO,3840,1402,0.4375
../exemplos/matriz.log,8,8192,FIFO,2778,885,0.359375
../exemplos/matriz.log,8,16384,FIFO,2326,165,0.546875
../exemplos/matriz.log,16,128,FIFO,324507,54843,0.140625
../exemplos/matriz.log,16,256,FIFO,205727,46099,0.15625
../exemplos/matriz.log,16,512,FIFO,70151,15982,0.15625
../exemplos/matriz.log,16,1024,FIFO,22815,6120,0.1875
../exemplos/matriz.log,16,2048,FIFO,12021,3824,0.25
../exemplos/matriz.log,16,4096,FIFO,4910,1827,0.3125
../exemplos/matriz.log,16,8192,FIFO,3027,1141,0.296875
../exemplos/matriz.log,16,16384,FIFO,2294,711,0.375
../exemplos/matriz.log,32,128,FIFO,403797,56910,0.15625
../exemplos/matriz.log,32,256,FIFO,314398,54456,0.140625
../exemplos/matriz.log,32,512,FIFO,188541,43099,0.140625
../exemplos/matriz.log,32,1024,FIFO,59061,13547,0.15625
../exemplos/matriz.log,32,2048,FIFO,19309,5295,0.1875
../exemplos/matriz.log,32,4096,FIFO,9506,3150,0.25
../exemplos/matriz.log,32,8192,FIFO,4013,1500,0.28125
../exemplos/matriz.log,32,16384,FIFO,2461,919,0.28125
../exemplos/matriz.log,64,128,FIFO,458585,59417,0.140625
../exemplos/matriz.log,64,256,FIFO,350270,56339,0.140625
../exemplos/matriz.log,64,512,FIFO,271380,53923,0.140625
../exemplos/matriz.log,64,1024,FIFO,137751,33692,0.15625
../exemplos/matriz.log,64,2048,FIFO,40262,9338,0.15625
../exemplos/matriz.log,64,4096,FIFO,14861,4231,0.1875
../exemplos/matriz.log,64,8192,FIFO,6848,2416,0.25
../exemplos/matriz.log,64,16384,FIFO,3175,1198,0.265625
../exemplos/simulador.log,2,128,LRU,59155,14134,0.203125
../exemplos/simulador.log,2,256,LRU,34943,9872,0.25
../exemplos/simulador.log,2,512,LRU,20163,6755,0.375
../exemplos/simulador.log,2,1024,LRU,11449,4552,0.5625
../exemplos/simulador.log,2,2048,LRU,7663,3308,1.20312
../exemplos/simulador.log,2,4096,LRU,6168,2507,2.26562
../exemplos/simulador.log,2,8192,LRU,5333,937,2.59375
../exemplos/simulador.log,2,16384,LRU,5144,0,2.73438
../exemplos/simulador.log,4,128,LRU,85283,18806,0.171875
../exemplos/simulador.log,4,256,LRU,48301,11945,0.203125
../exemplos/simulador.log,4,512,LRU,27778,8367,0.25
../exemplos/simulador.log,4,1024,LRU,15440,5455,0.375
../exemplos/simulador.log,4,2048,LRU,8089,3384,0.46875
../exemplos/simulador.log,4,4096,LRU,5492,2408,1.04688
../exemplos/simulador.log,4,8192,LRU,4314,1624,1.70312
../exemplos/simulador.log,4,16384,LRU,3890,0,2.1875
../exemplos/simulador.log,8,128,LRU,131827,30140,0.15625
../exemplos/simulador.log,8,256,LRU,78338,17773,0.15625
../exemplos/simulador.log,8,512,LRU,42421,11152,0.1875
../exemplos/simulador.log,8,1024,LRU,22816,7433,0.234375
../exemplos/simulador.log,8,2048,LRU,11884,4683,0.40625
../exemplos/simulador.log,8,4096,LRU,6293,2858,0.578125
../exemplos/simulador.log,8,8192,LRU,4528,2052,0.9375
../exemplos/simulador.log,8,16384,LRU,3669,1203,1.73438
../exemplos/simulador.log,16,128,LRU,208367,53738,0.15625
../exemplos/simulador.log,16,256,LRU,119307,28226,0.15625
../exemplos/simulador.log,16,512,LRU,70724,16598,0.171875
../exemplos/simulador.log,16,1024,LRU,37606,10409,0.1875
../exemplos/simulador.log,16,2048,LRU,18800,6620,0.25
../exemplos/simulador.log,16,4096,LRU,9188,4014,0.375
../exemplos/simulador.log,16,8192,LRU,5108,2453,0.6875
../exemplos/simulador.log,16,16384,LRU,3751,1721,1
../exemplos/simulador.log,32,128,LRU,274439,81612,0.140625
../exemplos/simulador.log,32,256,LRU,174434,47043,0.140625
../exemplos/simulador.log,32,512,LRU,101483,24766,0.15625
../exemplos/simulador.log,32,1024,LRU,60922,14654,0.15625
../exemplos/simulador.log,32,2048,LRU,31700,9211,0.1875
../exemplos/simulador.log,32,4096,LRU,14066,5380,0.265625
../exemplos/simulador.log,32,8192,LRU,6783,3152,0.40625
../exemplos/simulador.log,32,16384,LRU,3837,1890,0.578125
../exemplos/simulador.log,64,128,LRU,427573,128206,0.140625
../exemplos/simulador.log,64,256,LRU,248262,75439,0.140625
../exemplos/simulador.log,64,512,LRU,152352,40997,0.15625
../exemplos/simulador.log,64,1024,LRU,81506,19786,0.15625
../exemplos/simulador.log,64,2048,LRU,46770,10970,0.171875
../exemplos/simulador.log,64,4096,LRU,20809,6532,0.1875
../exemplos/simulador.log,64,8192,LRU,8367,3479,0.234375
../exemplos/simulador.log,64,16384,LRU,3934,1903,0.40625
../exemplos/simulador.log,2,128,FIFO,59155,14134,0.203125
../exemplos/simulador.log,2,256,FIFO,34943,9872,0.265625
../exemplos/simulador.log,2,512,FIFO,20163,6755,0.390625
../exemplos/simulador.log,2,1024,FIFO,11449,4552,0.59375
../exemplos/simulador.log,2,2048,FIFO,7663,3308,1.15625
../exemplos/simulador.log,2,4096,FIFO,6168,2507,2.39062
../exemplos/simulador.log,2,8192,FIFO,5333,937,2.89062
../exemplos/simulador.log,2,16384,FIFO,5144,0,3.125
../exemplos/simulador.log,4,128,FIFO,85283,18806,0.15625
../exemplos/simulador.log,4,256,FIFO,48301,11945,0.1875
../exemplos/simulador.log,4,512,FIFO,27778,8367,0.234375
../exemplos/simulador.log,4,1024,FIFO,15440,5455,0.359375
../exemplos/simulador.log,4,2048,FIFO,8089,3384,0.484375
../exemplos/simulador.log,4,4096,FIFO,5492,2408,1.07812
../exemplos/simulador.log,4,8192,FIFO,4314,1624,1.71875
../exemplos/simulador.log,4,16384,FIFO,3890,0,2.20312
../exemplos/simulador.log,8,128,FIFO,131827,30140,0.15625
../exemplos/simulador.log,8,256,FIFO,78338,17773,0.15625
../exemplos/simulador.log,8,512,FIFO,42421,11152,0.1875
../exemplos/simulador.log,8,1024,FIFO,22816,7433,0.234375
../exemplos/simulador.log,8,2048,FIFO,11884,4683,0.40625
../exemplos/simulador.log,8,4096,FIFO,6293,2858,0.5625
../exemplos/simulador.log,8,8192,FIFO,4528,2052,0.9375
../exemplos/simulador.log,8,16384,FIFO,3669,1203,1.60938
../exemplos/simulador.log,16,128,FIFO,208367,53738,0.15625
../exemplos/simulador.log,16,256,FIFO,119307,28226,0.15625
../exemplos/simulador.log,16,512,FIFO,70724,16598,0.171875
../exemplos/simulador.log,16,1024,FIFO,37606,10409,0.1875
../exemplos/simulador.log,16,2048,FIFO,18800,6620,0.265625
../exemplos/simulador.log,16,4096,FIFO,9188,4014,0.359375
../exemplos/simulador.log,16,8192,FIFO,5108,2453,0.703125
../exemplos/simulador.log,16,16384,FIFO,3751,1721,1.01562
../exemplos/simulador.log,32,128,FIFO,274439,81612,0.140625
../exemplos/simulador.log,32,256,FIFO,174434,47043,0.140625
../exemplos/simulador.log,32,512,FIFO,101483,24766,0.140625
../exemplos/simulador.log,32,1024,FIFO,60922,14654,0.15625
../exemplos/simulador.log,32,2048,FIFO,31700,9211,0.1875
../exemplos/simulador.log,32,4096,FIFO,14066,5380,0.265625
../exemplos/simulador.log,32,8192,FIFO,6783,3152,0.40625
../exemplos/simulador.log,32,16384,FIFO,3837,1890,0.578125
../exemplos/simulador.log,64,128,FIFO,427573,128206,0.125
../exemplos/simulador.log,64,256,FIFO,248262,75439,0.125
../exemplos/simulador.log,64,512,FIFO,152352,40997,0.140625
../exemplos/simulador.log,64,1024,FIFO,81506,19786,0.15625
../exemplos/simulador.log,64,2048,FIFO,46770,10970,0.171875
../exemplos/simulador.log,64,4096,FIFO,20809,6532,0.1875
../exemplos/simulador.log,64,8192,FIFO,8367,3479,0.234375
../exemplos/simulador.log,64,16384,FIFO,3934,1903,0.40625
